mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
338,5,2,153600523,-61.8384003,17.1478801,-1.0,1100.0,14
338,5,2,153600525,-61.837651,17.1488197,-1.0,679.0,46
338,5,2,179200523,-62.1322668,17.5311039,-1.0,59601.0,15
338,5,2,179206155,-61.8356528,17.1404646,-1.0,539.0,23
338,5,418,8192278,-81.3790007,19.3706706,-1.0,3042.0,8
338,5,418,8192288,-81.3360617,19.3464389,-1.0,700.0,29
338,5,418,8192534,-81.3716517,19.2894051,-1.0,1226.0,9
338,5,418,8192543,-81.3732835,19.3043069,-1.0,976.0,9
338,5,418,8192544,-81.3699124,19.2994639,-1.0,500.0,26
338,5,418,8193025,-81.3861709,19.3651631,-1.0,500.0,6
338,5,418,8193026,-81.3830184,19.3550756,-1.0,500.0,12
338,5,418,8193027,-81.384256,19.3480223,-1.0,2637.0,42
338,5,418,8193055,-81.3860536,19.3614652,-1.0,500.0,6
338,5,418,8193056,-81.3853281,19.3587663,-1.0,500.0,3
338,5,418,8193057,-81.3847185,19.3385844,-1.0,2334.0,4
338,5,418,8193302,-81.3402825,19.3512414,-1.0,4819.0,38
338,5,418,8193312,-81.3344841,19.3479221,-1.0,7097.0,12
338,5,418,8193557,-81.3794988,19.3204288,-1.0,500.0,6
338,5,418,8193559,-81.3831993,19.3167057,-1.0,541.0,34
338,5,418,8193813,-81.3808498,19.2950284,-1.0,500.0,5
338,5,418,8193814,-81.378555,19.2920433,-1.0,1000.0,12
338,5,418,8193824,-81.372869,19.2922052,-1.0,559.0,6
338,5,418,8194049,-81.385785,19.2851729,-1.0,1345.0,5
338,5,418,8194325,-81.3380452,19.3308731,-1.0,4448.0,20
338,5,418,8194326,-81.347315,19.281988,-1.0,586.0,22
338,5,418,8194327,-81.3562933,19.2863672,-1.0,1218.0,68
338,5,418,8194335,-81.3319928,19.3509634,-1.0,2247.0,10
338,5,418,8194337,-81.3512089,19.2849432,-1.0,635.0,4
338,5,418,8194583,-81.3670632,19.2891449,-1.0,641.0,8
338,5,418,8194591,-81.3354006,19.3393067,-1.0,500.0,4
338,5,418,8194593,-81.3687003,19.2911955,-1.0,1012.0,13
338,5,418,8194837,-81.2891684,19.3660036,-1.0,500.0,3
338,5,418,8194838,-81.2909696,19.2794916,-1.0,1341.0,17
338,5,418,8194848,-81.2799272,19.2790121,-1.0,520.0,6
338,5,418,8195093,-81.194464,19.2964769,-1.0,500.0,10
338,5,418,8195094,-81.2077796,19.2956893,-1.0,3395.0,52
338,5,418,8195104,-81.2349951,19.2893455,-1.0,500.0,4
338,5,418,8195349,-81.0947988,19.3062969,-1.0,500.0,2
338,5,418,8195350,-81.0959938,19.3050116,-1.0,500.0,4
338,5,418,8195862,-81.1731973,19.3417681,-1.0,500.0,6
338,5,418,8195863,-81.1754453,19.3432461,-1.0,500.0,8
338,5,418,8196128,-81.276225,19.3706667,-1.0,500.0,5
338,5,418,8196383,-81.2306373,19.2918799,-1.0,500.0,4
338,5,418,8198677,-81.384409,19.3030718,-1.0,1158.0,26
338,5,418,8198679,-81.383086,19.2977111,-1.0,1175.0,11
338,5,418,8198689,-81.383105,19.2961462,-1.0,500.0,2
338,5,418,8198933,-81.3842999,19.31455,-1.0,500.0,2
338,5,418,8199189,-81.3646665,19.2863837,-1.0,619.0,30
338,5,418,8199190,-81.3694712,19.2845058,-1.0,500.0,20
338,5,418,8199191,-81.3672681,19.2865513,-1.0,500.0,13
338,5,418,8199201,-81.3691243,19.2902396,-1.0,567.0,17
338,5,418,8199445,-81.3367469,19.2860925,-1.0,5474.0,9
338,5,418,8199446,-81.3324167,19.2751303,-1.0,500.0,6
338,5,418,8199447,-81.3339208,19.2755585,-1.0,500.0,5
338,5,418,8199455,-81.3109556,19.3540688,-1.0,2896.0,2
338,5,418,8204831,-81.3355414,19.3433749,-1.0,500.0,2
338,5,418,8205077,-81.3779795,19.3272571,-1.0,500.0,2
338,5,418,8205333,-81.3369507,19.2924331,-1.0,2171.0,2
338,5,418,8218389,-81.1825997,19.3077306,-1.0,500.0,8
338,5,418,8218645,-81.2358743,19.2885233,-1.0,500.0,9
338,5,418,8218647,-81.2827593,19.2795081,-1.0,500.0,7
338,5,418,8218655,-81.238984,19.2869959,-1.0,500.0,6
338,5,418,8218657,-81.2786314,19.2786609,-1.0,500.0,12
338,5,418,8219414,-81.3711244,19.2926019,-1.0,823.0,5
338,5,418,8220182,-81.265626,19.3533668,-1.0,2281.0,2
338,5,418,8220693,-81.3817615,19.296,-1.0,500.0,75
338,5,418,8220694,-81.381934,19.2944558,-1.0,696.0,19
338,5,418,8220695,-81.3852639,19.295912,-1.0,1147.0,30
338,5,418,8220703,-81.3816379,19.2956227,-1.0,500.0,13
338,5,418,8220704,-81.3817847,19.295136,-1.0,500.0,2
338,5,418,8220705,-81.3828511,19.29558,-1.0,500.0,5
338,5,418,8221461,-81.380574,19.278258,-1.0,8184.0,16
338,5,418,8221717,-81.2969523,19.2811242,-1.0,1073.0,23
338,5,418,8221718,-81.3004734,19.2761421,-1.0,1024.0,133
338,5,418,8221719,-81.3040678,19.2809346,-1.0,626.0,7
338,5,418,8221728,-81.3025172,19.2771217,-1.0,500.0,14
338,5,418,8221729,-81.302435,19.2770866,-1.0,500.0,4
338,5,418,8221974,-81.3856874,19.3526498,-1.0,3119.0,12
338,5,418,33792268,-81.359858,19.3702965,-1.0,2339.0,2
338,5,418,33792524,-81.3713495,19.2960616,-1.0,500.0,4
338,5,418,33793291,-81.3797328,19.3426264,-1.0,1757.0,11
338,5,418,33793292,-81.3688374,19.3400759,-1.0,10795.0,13
338,5,418,33793293,-81.3790622,19.3374091,-1.0,1121.0,9
338,5,418,33793547,-81.380455,19.3252801,-1.0,753.0,89
338,5,418,33793548,-81.387006,19.298848,-1.0,500.0,5
338,5,418,33793549,-81.3843124,19.3145298,-1.0,1895.0,56
338,5,418,33793803,-81.3872024,19.2998693,-1.0,911.0,12
338,5,418,33793804,-81.3716957,19.2936511,-1.0,500.0,5
338,5,418,33793805,-81.383071,19.2907459,-1.0,500.0,18
338,5,418,33794572,-81.3590222,19.2958724,-1.0,500.0,2
338,5,418,33798667,-81.3886768,19.3018792,-1.0,693.0,16
338,5,418,33798669,-81.3847605,19.2966534,-1.0,1068.0,74
338,5,418,33798923,-81.3843469,19.3093616,-1.0,500.0,5
338,5,418,33799435,-81.3347719,19.2779819,-1.0,500.0,12
338,5,418,33799436,-81.3297971,19.2771584,-1.0,1686.0,7
338,5,418,33799691,-81.3801313,19.34102,-1.0,1022.0,4
338,5,418,33799692,-81.3283309,19.3586164,-1.0,6390.0,3
338,5,418,33799693,-81.3810744,19.3275168,-1.0,875.0,25
338,5,418,33805067,-81.3784959,19.3273078,-1.0,500.0,13
338,5,418,33805069,-81.378167,19.3215215,-1.0,500.0,2
338,5,418,33818631,-81.231375,19.29207,-1.0,500.0,6
338,5,418,33819405,-81.3850105,19.2987768,-1.0,901.0,6
338,5,418,33820683,-81.3812499,19.2959068,-1.0,500.0,7
338,5,418,33820684,-81.3832729,19.2941847,-1.0,500.0,59
338,5,418,33820685,-81.3829554,19.2953898,-1.0,500.0,35
338,5,418,33821451,-81.3924337,19.3027652,-1.0,500.0,10
338,5,418,33821709,-81.3153058,19.2818798,-1.0,500.0,4
338,5,418,33821964,-81.3670836,19.3437813,-1.0,3872.0,5
338,5,1001,3382351,-63.09274,18.0614771,-1.0,5382.0,9
338,5,1001,3382354,-63.0913674,18.040431,-1.0,500.0,5
338,5,1001,3382371,-63.0181773,18.1051845,-1.0,9251.0,23
