mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
364,39,1,1280515,-77.4259955,25.0065256,-1.0,1841.0,6
364,39,1,1280523,-77.3618941,25.0013466,-1.0,500.0,8
364,39,1,1280524,-77.4159958,25.0001371,-1.0,500.0,2
364,39,1,1280525,-77.4616011,25.0280378,-1.0,3011.0,2
364,39,1,1280770,-77.4558694,24.9958133,-1.0,1509.0,176
364,39,1,1280771,-77.462113,25.0018391,-1.0,500.0,82
364,39,1,1280790,-77.4568828,25.0024489,-1.0,500.0,2
364,39,1,1280791,-77.4630248,25.0015431,-1.0,500.0,7
364,39,1,1282050,-77.3355468,25.022287,-1.0,642.0,29
364,39,1,1282053,-77.3354459,25.0232897,-1.0,559.0,24
364,39,1,1282054,-77.330429,25.0265105,-1.0,500.0,23
364,39,1,1283842,-77.378017,25.0476528,-1.0,4643.0,290
364,39,1,1283852,-77.3753555,25.0467971,-1.0,1091.0,32
364,39,1,1283853,-77.3932473,25.0612449,-1.0,1314.0,20
364,39,1,1283861,-77.3691815,25.0567789,-1.0,500.0,8
364,39,1,1283862,-77.3765707,25.0467579,-1.0,554.0,43
364,39,1,1284865,-77.3987735,25.0366272,-1.0,2173.0,65
364,39,1,1284875,-77.4010284,25.0408221,-1.0,894.0,32
364,39,1,1284885,-77.4001738,25.0478478,-1.0,500.0,6
364,39,1,1285122,-77.3526755,25.0298291,-1.0,500.0,2
364,39,1,1285893,-77.3443143,25.0481011,-1.0,2604.0,591
364,39,1,1285894,-77.3499317,25.0456792,-1.0,2919.0,139
364,39,1,1286404,-77.3599545,25.0234477,-1.0,807.0,9
364,39,1,1286406,-77.3591942,25.0082011,-1.0,868.0,4
364,39,1,1286657,-77.3762193,25.0136781,-1.0,500.0,10
364,39,1,1286658,-77.3693625,25.011473,-1.0,855.0,27
364,39,1,1286668,-77.3623944,25.0043597,-1.0,1897.0,6
364,39,1,1286678,-77.3569402,25.0042008,-1.0,500.0,6
364,39,1,1288450,-77.3413122,25.0373224,-1.0,1556.0,100
364,39,1,1288459,-77.3398907,25.0427159,-1.0,550.0,14
364,39,1,1288460,-77.3404562,25.0396484,-1.0,500.0,12
364,39,1,1288469,-77.3396128,25.0450262,-1.0,1926.0,13
364,39,1,1288470,-77.340622,25.0393169,-1.0,500.0,8
364,39,1,1292033,-77.345251,25.0280401,-1.0,867.0,32
364,39,1,1292035,-77.342161,25.0207532,-1.0,799.0,15
364,39,1,1292053,-77.3419628,25.0317951,-1.0,2608.0,65
364,39,1,1292055,-77.3442244,25.0176799,-1.0,1946.0,77
364,39,1,1292309,-77.3572738,25.0569567,-1.0,1283.0,86
364,39,1,1292310,-77.3581117,25.0455341,-1.0,1976.0,123
364,39,1,1292311,-77.3695332,25.0467137,-1.0,4338.0,51
364,39,1,1293315,-77.3712517,25.01899,-1.0,977.0,6
364,39,1,1293316,-77.3826744,25.0330079,-1.0,3032.0,23
364,39,1,1293317,-77.3646432,25.0265264,-1.0,500.0,2
364,39,1,1293571,-77.3798809,25.0320921,-1.0,3974.0,17
364,39,1,1293574,-77.384726,25.0300017,-1.0,2077.0,93
364,39,1,1406209,-77.3766626,25.0259818,-1.0,5631.0,191
364,39,1,1406210,-77.3809268,25.0128861,-1.0,727.0,6
364,39,1,1406211,-77.3842504,25.0192918,-1.0,878.0,10
364,39,1,1406219,-77.3816858,25.0203449,-1.0,500.0,7
364,39,1,1406220,-77.3821981,25.0125173,-1.0,500.0,4
364,39,1,1406229,-77.3816402,25.0204594,-1.0,500.0,10
364,39,1,1406230,-77.3809249,25.01168,-1.0,500.0,6
364,39,1,1406465,-77.3440423,25.0301957,-1.0,500.0,2
364,39,1,1406466,-77.3504334,25.0165537,-1.0,1068.0,2
364,39,1,1406486,-77.3553247,25.0120795,-1.0,2116.0,8
364,39,1,1409282,-77.3416974,25.0310262,-1.0,500.0,2
364,39,1,1409292,-77.3363747,25.029041,-1.0,500.0,2
364,39,1,1409293,-77.3384213,25.0364174,-1.0,706.0,5
364,39,1,1409301,-77.3313754,25.0348016,-1.0,646.0,2
364,39,1,1409303,-77.3419168,25.03104,-1.0,500.0,4
364,39,1,1409795,-77.3523522,25.0341845,-1.0,561.0,106
364,39,1,1409814,-77.3505885,25.0309413,-1.0,500.0,7
364,39,2,205722,-77.3359266,25.0758617,-1.0,500.0,3
364,39,2,222721,-77.3504873,25.0787169,-1.0,500.0,2
364,39,2,266757,-77.3270805,25.0846757,-1.0,500.0,2
364,39,2,1281793,-77.3646212,25.0766942,-1.0,4706.0,126
364,39,2,1281794,-77.3590742,25.0703206,-1.0,620.0,6
