mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
714,1,99,204840193,-79.2431358,9.1431589,-1.0,500.0,2
714,1,210,1462,-80.050368,8.5439047,-1.0,20283.0,227
714,1,210,1495,-80.0414485,8.4566303,-1.0,18816.0,158
714,1,210,1504,-80.0781403,8.4162898,-1.0,23034.0,34
714,1,210,2462,-80.0444775,8.5322853,-1.0,19857.0,510
714,1,210,2505,-80.1140708,8.6134957,-1.0,500.0,118
714,1,210,2705,-80.2119034,8.646498,-1.0,13268.0,70
714,1,210,3705,-80.3285423,8.6364649,-1.0,500.0,17
714,1,330,1392,-79.705269,9.4912478,-1.0,2325.0,79
714,1,330,33100,-79.5797753,9.6133619,-1.0,648.0,5
714,1,410,1500,-82.4267425,8.4315217,-1.0,500.0,13
714,1,410,1508,-82.4266811,8.4304479,-1.0,500.0,6
714,1,410,1510,-82.424591,8.4345178,-1.0,1435.0,33
714,1,410,1516,-82.1818965,8.3755819,-1.0,11642.0,1117
714,1,410,1530,-82.42462,8.4343774,-1.0,1450.0,33
714,1,410,1622,-82.4248701,8.4331653,-1.0,1587.0,33
714,1,410,2510,-82.4246535,8.434215,-1.0,1469.0,33
714,1,410,2530,-82.4252747,8.4312051,-1.0,500.0,10
714,1,410,2655,-82.4255361,8.4299381,-1.0,500.0,2
714,1,410,3501,-82.4261879,8.4302578,-1.0,500.0,9
714,1,410,3510,-82.42463,8.4343289,-1.0,1456.0,33
714,1,410,3586,-82.4250566,8.4322567,-1.0,500.0,16
714,1,420,1522,-82.6286978,8.7970278,-1.0,11364.0,437
714,1,420,1554,-82.6351309,8.8066899,-1.0,1626.0,18
714,1,420,1563,-82.6280346,8.7372686,-1.0,15118.0,10
714,1,420,1565,-82.6256151,8.7156067,-1.0,2893.0,28
714,1,420,2531,-82.6160885,8.8208089,-1.0,1592.0,125
714,1,420,2554,-82.6282217,8.71402,-1.0,14142.0,86
714,1,420,2565,-82.5623337,8.6280893,-1.0,45022.0,50
714,1,420,3517,-82.6199879,8.7300701,-1.0,14614.0,15
714,1,420,3565,-82.6220851,8.7415305,-1.0,8614.0,75
714,1,420,998262,-82.6162053,8.8205547,-1.0,500.0,15
714,1,420,999733,-82.2189254,8.7470173,-1.0,500.0,2
714,1,420,1008582,-82.6350067,8.7522712,-1.0,500.0,4
714,1,600,1442,-82.4299593,8.7808419,-1.0,500.0,241
714,1,600,1728,-82.4299593,8.7808419,-1.0,500.0,160
714,1,600,2416,-82.4299593,8.7808419,-1.0,500.0,175
714,1,600,2425,-82.4299593,8.7808419,-1.0,500.0,10
714,1,600,2442,-82.4299593,8.7808419,-1.0,500.0,247
714,1,600,2477,-82.4299593,8.7808419,-1.0,500.0,170
714,1,600,2728,-82.4299593,8.7808419,-1.0,500.0,173
714,1,600,3442,-82.4299593,8.7808419,-1.0,500.0,49
714,1,600,3497,-82.4299593,8.7808419,-1.0,500.0,148
714,1,820,1235,-79.7353237,8.9240251,-1.0,835.0,23
714,1,820,1241,-79.898719,9.0103794,-1.0,29127.0,20
714,1,820,2215,-79.7255307,8.9138474,-1.0,2630.0,43
714,1,820,2235,-79.7152764,8.9270005,-1.0,5506.0,40
714,1,820,2241,-79.9164519,8.9892038,-1.0,1702.0,20
714,1,820,2421,-79.7334649,8.9252946,-1.0,500.0,14
714,1,820,3215,-79.7377328,8.913347,-1.0,5011.0,31
714,1,820,3235,-79.744909,8.8986739,-1.0,2800.0,51
714,1,820,3241,-79.9165518,8.9887483,-1.0,1754.0,20
714,1,820,3275,-79.7304744,8.9274588,-1.0,500.0,3
714,1,821,1204,-79.7760528,8.8812568,-1.0,1387.0,24
714,1,821,1219,-79.7820136,8.8792336,-1.0,500.0,7
714,1,821,1221,-79.7800941,8.8812564,-1.0,5865.0,7
714,1,821,1222,-79.7788128,8.8956358,-1.0,10308.0,73
714,1,821,1223,-79.7619827,8.8823796,-1.0,2279.0,120
714,1,821,1236,-79.7514745,8.8942287,-1.0,3459.0,55
714,1,821,1237,-79.8419558,8.8394339,-1.0,3116.0,194
714,1,821,1316,-79.7457923,8.9082275,-1.0,1125.0,2
714,1,821,2204,-79.785388,8.8777814,-1.0,2307.0,30
714,1,821,2219,-82.4299593,8.7808419,-1.0,500.0,53
714,1,821,2222,-79.782596,8.8780854,-1.0,500.0,2
714,1,821,2236,-79.7590211,8.8846391,-1.0,3306.0,160
714,1,821,2237,-79.8551666,8.8242404,-1.0,5035.0,356
714,1,821,2272,-79.8416035,8.8415438,-1.0,2327.0,41
714,1,821,2295,-79.8505211,8.8292389,-1.0,4064.0,219
714,1,821,2302,-79.7812154,8.879808,-1.0,500.0,2
714,1,821,2420,-79.7811037,8.8798879,-1.0,500.0,6
