mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
455,0,5,515,113.5401651,22.1996073,-1.0,500.0,71
455,0,5,769,113.5485116,22.2147539,-1.0,500.0,2
455,0,5,3329,113.5555235,22.2045616,-1.0,500.0,5
455,0,5,3331,113.5549625,22.198697,-1.0,500.0,3
455,0,5,5378,113.5401835,22.1939491,-1.0,500.0,6
455,0,5,5379,113.5403243,22.1969394,-1.0,500.0,22
455,0,5,6401,113.5564883,22.2012185,-1.0,576.0,23
455,0,5,6402,113.5595422,22.2038048,-1.0,779.0,4
455,0,5,8449,113.5522522,22.1958849,-1.0,500.0,13
455,0,5,8451,113.5493381,22.1937577,-1.0,500.0,7
455,0,5,11521,113.5628029,22.1958553,-1.0,500.0,11
455,0,5,11522,113.5595309,22.198295,-1.0,500.0,31
455,0,5,11523,113.5560319,22.1975462,-1.0,500.0,5
455,0,5,12547,113.5319061,22.1883124,-1.0,500.0,7
455,0,5,12548,113.5327377,22.1896026,-1.0,500.0,5
455,0,5,13058,113.5535429,22.2058047,-1.0,500.0,4
455,0,5,13059,113.5536431,22.2057525,-1.0,500.0,5
455,0,5,18178,113.5476699,22.2144488,-1.0,500.0,12
455,0,5,18179,113.548746,22.2151778,-1.0,500.0,3
455,0,5,20482,113.552512,22.195502,-1.0,500.0,3
455,0,5,20483,113.5538399,22.1955896,-1.0,500.0,2
455,0,5,20484,113.5576714,22.1975608,-1.0,500.0,14
455,0,5,23809,113.5474183,22.2100054,-1.0,500.0,5
455,0,5,23810,113.5496401,22.2095284,-1.0,500.0,11
455,0,5,23811,113.5485086,22.2104358,-1.0,500.0,9
455,0,5,76687,113.5571699,22.1560473,-1.0,500.0,3
455,0,5,76959,113.57199,22.1501902,-1.0,500.0,2
455,0,5,77048,113.5551605,22.1553075,-1.0,500.0,2
455,0,5,77069,113.5561949,22.1553862,-1.0,500.0,6
455,0,5,78129,113.5716024,22.1512531,-1.0,500.0,3
455,0,5,81609,113.5360893,22.1897003,-1.0,500.0,4
455,0,5,130561,113.5438155,22.1893015,-1.0,500.0,21
455,0,5,135937,113.5357799,22.1948477,-1.0,500.0,6
455,0,5,140035,113.5635254,22.1997046,-1.0,5519.0,15
455,0,5,141334,113.5368992,22.1902592,-1.0,500.0,3
455,0,5,141335,113.534352,22.1915303,-1.0,500.0,12
455,0,5,141393,113.5384511,22.1917058,-1.0,500.0,2
455,0,5,141395,113.5376472,22.1909748,-1.0,500.0,7
455,0,5,143875,113.5475928,22.2114976,-1.0,500.0,4
455,0,5,146178,113.5458565,22.2118594,-1.0,500.0,6
455,0,5,146865,113.5353556,22.1890469,-1.0,500.0,3
455,0,5,147202,113.5517285,22.2072146,-1.0,500.0,9
455,0,5,147203,113.5496838,22.2087876,-1.0,500.0,4
455,0,5,147204,113.5501051,22.2075578,-1.0,500.0,2
455,1,1,35430,113.5538619,22.2048609,-1.0,500.0,6
455,1,1,35431,113.5546942,22.2063334,-1.0,500.0,7
455,1,1,35796,113.5433257,22.2045358,-1.0,500.0,8
455,1,1,37478,113.550334,22.2090222,-1.0,702.0,34
455,1,1,37479,113.5508379,22.2099111,-1.0,500.0,15
455,1,1,40807,113.5519688,22.2112092,-1.0,500.0,104
455,1,1,84481,113.5429431,22.2096196,-1.0,500.0,28
455,1,1,86118,113.5452269,22.2080206,-1.0,500.0,2
455,1,1,87397,113.5463171,22.2150044,-1.0,500.0,11
455,1,1,99843,113.5488585,22.2135636,-1.0,500.0,6
455,1,1,176083,113.5546986,22.1999658,-1.0,500.0,2
455,1,1,176644,113.7958013,22.2064568,-1.0,40741.0,435
455,1,1,176744,113.6020796,22.1775622,-1.0,22065.0,90
455,1,1,251906,113.5522937,22.209288,-1.0,500.0,12
455,1,2,36709,113.5464691,22.2011246,-1.0,500.0,91
455,1,2,36965,113.544481,22.1976551,-1.0,500.0,69
455,1,2,36966,113.543391,22.1996652,-1.0,500.0,48
455,1,2,40550,113.5419171,22.1998605,-1.0,512.0,286
455,1,2,45414,113.5347922,22.1883142,-1.0,500.0,10
455,1,2,46950,113.5407163,22.1966389,-1.0,500.0,4
455,1,2,50023,113.5356775,22.1943294,-1.0,500.0,28
455,1,2,50387,113.5439324,22.2042943,-1.0,500.0,3
455,1,2,56421,113.5364928,22.1966528,-1.0,500.0,22
455,1,2,57445,113.5472685,22.2029866,-1.0,500.0,44
455,1,2,58883,113.5379779,22.2023709,-1.0,500.0,17
455,1,2,62566,113.5370673,22.2008297,-1.0,500.0,4
455,1,2,62567,113.5373061,22.2018804,-1.0,500.0,3
455,1,2,64769,113.5369168,22.1926554,-1.0,794.0,113
455,1,2,64770,113.5369488,22.1900969,-1.0,1091.0,17
455,1,2,64870,113.538032,22.1865909,-1.0,2809.0,65
455,1,2,72197,113.5465023,22.2006757,-1.0,500.0,2
455,1,2,73061,113.5512849,22.2020305,-1.0,512.0,210
455,1,2,73062,113.5504165,22.2008663,-1.0,645.0,112
455,1,2,88579,113.5379331,22.1911372,-1.0,500.0,4
455,1,2,92931,113.5443051,22.2030243,-1.0,6346.0,49
455,1,2,99077,113.5470925,22.2006495,-1.0,500.0,19
455,1,2,111105,113.5483178,22.2017398,-1.0,500.0,23
455,1,2,113510,113.5502333,22.202519,-1.0,500.0,10
455,1,2,115813,113.5503704,22.203551,-1.0,517.0,60
455,1,2,116737,113.54276,22.2051694,-1.0,500.0,7
455,1,2,116837,113.5424202,22.2046583,-1.0,500.0,69
455,1,2,116838,113.5434986,22.1992368,-1.0,551.0,2
455,1,4,27393,113.5558268,22.1248338,-1.0,500.0,21
455,1,4,27649,113.5755078,22.1254264,-1.0,1632.0,22
455,1,4,28163,113.5617767,22.1215758,-1.0,758.0,3
455,1,4,28261,113.7049856,22.1814652,-1.0,16419.0,176
455,1,4,28931,113.5533948,22.1218202,-1.0,500.0,9
455,1,4,29185,113.5568728,22.1262898,-1.0,500.0,8
455,1,4,29287,113.5623542,22.1341417,-1.0,715.0,11
455,1,4,31745,113.5625967,22.1283552,-1.0,963.0,9
455,1,4,32513,113.5522786,22.1632159,-1.0,737.0,74
455,1,4,32514,113.5516345,22.1618918,-1.0,500.0,19
455,1,4,32613,113.5522448,22.1630355,-1.0,500.0,99
455,1,4,32614,113.551146,22.1621529,-1.0,513.0,16
455,1,4,33793,113.5598246,22.1287739,-1.0,500.0,25
455,1,4,38501,113.5569058,22.1545474,-1.0,515.0,43
455,1,4,93286,113.5512117,22.1634943,-1.0,1212.0,44
455,1,4,117249,113.5515781,22.1468473,-1.0,500.0,3
455,1,4,117252,113.551968,22.1469041,-1.0,500.0,54
455,1,4,117353,113.5529939,22.1470536,-1.0,500.0,5
455,1,4,118529,113.5570483,22.16081,-1.0,2802.0,92
455,1,4,118629,113.5564863,22.160592,-1.0,507.0,380
455,1,4,118885,113.5619071,22.154852,-1.0,2115.0,113
455,1,4,119298,113.5442941,22.1575991,-1.0,500.0,4
455,1,4,120933,113.5656448,22.1676246,-1.0,1863.0,44
455,1,4,125699,113.5515006,22.1556614,-1.0,729.0,26
455,1,4,128001,113.5489011,22.1589344,-1.0,500.0,59
455,1,4,128872,113.5614897,22.1610206,-1.0,2259.0,16
455,1,4,130663,113.557795,22.1581571,-1.0,500.0,68
455,1,4,130817,113.5530494,22.1513949,-1.0,500.0,28
455,1,4,130917,113.5528408,22.1518455,-1.0,600.0,10
455,1,4,131047,113.5527419,22.1513665,-1.0,500.0,2
455,1,4,133481,113.6095649,22.1766833,-1.0,500.0,2
455,1,4,134147,113.5585628,22.1586936,-1.0,500.0,17
455,1,4,138497,113.5623365,22.1878093,-1.0,500.0,5
455,1,4,138498,113.5530737,22.1469654,-1.0,500.0,2
455,1,4,140291,113.5694229,22.1384178,-1.0,500.0,2
455,1,4,140391,113.5631929,22.141442,-1.0,639.0,7
455,1,4,146690,113.544712,22.1559776,-1.0,505.0,72
455,1,4,150531,113.5533652,22.1325033,-1.0,649.0,10
455,1,4,156417,113.5571491,22.1247611,-1.0,500.0,9
455,1,4,156517,113.5573247,22.1267624,-1.0,500.0,17
455,1,4,156519,113.5560704,22.1322651,-1.0,845.0,18
455,1,4,162821,113.5538385,22.1242942,-1.0,500.0,2
455,1,4,171267,113.551449,22.150741,-1.0,500.0,2
455,1,4,171877,113.5623365,22.1878093,-1.0,500.0,2
455,1,4,180225,113.5697578,22.1383927,-1.0,500.0,3
455,1,4,182273,113.5596637,22.1572671,-1.0,500.0,10
455,1,4,182275,113.5599675,22.1584477,-1.0,500.0,7
455,1,4,182375,113.561137,22.1586212,-1.0,500.0,7
455,1,5,36308,113.5531483,22.1969439,-1.0,500.0,4
455,1,5,38246,113.5294564,22.1850833,-1.0,500.0,43
455,1,5,41473,113.5414834,22.1837488,-1.0,737.0,25
455,1,5,41829,113.5477468,22.1983566,-1.0,540.0,234
455,1,5,42597,113.5405875,22.1955304,-1.0,500.0,3
455,1,5,42727,113.5410949,22.1964329,-1.0,500.0,2
455,1,5,42728,113.5406599,22.1968746,-1.0,500.0,5
