mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
238,1,131,37,11.9329166,55.788765,-1.0,3564.0,644
238,1,131,456,12.058917,55.6238103,-1.0,4265.0,366
238,1,131,523,11.9071294,55.7890418,-1.0,27080.0,372
238,1,131,1476,11.6449523,55.8160572,-1.0,24623.0,421
238,1,131,1958,11.5343987,55.9371,-1.0,54614.0,390
238,1,131,2135,11.3293647,55.9725042,-1.0,26756.0,558
238,1,131,2899,11.9099048,55.7979605,-1.0,12702.0,342
238,1,131,3730,12.0583925,55.7575075,-1.0,5546.0,28
238,1,131,3731,12.0288269,55.7603897,-1.0,500.0,4
238,1,131,4482,11.8737083,55.9881255,-1.0,34415.0,72
238,1,131,4758,11.613439,55.9428477,-1.0,31252.0,134
238,1,131,4760,11.5827481,55.9417937,-1.0,5984.0,224
238,1,131,5363,11.7024941,55.8302647,-1.0,13544.0,82
238,1,131,5418,12.038569,55.6056887,-1.0,5121.0,212
238,1,131,5570,12.050148,55.6147387,-1.0,11350.0,211
238,1,131,5679,12.1498933,55.7409731,-1.0,13185.0,24
238,1,131,6205,11.8173051,55.6463748,-1.0,4466.0,200
238,1,131,6448,12.0472653,55.6259106,-1.0,1476.0,34
238,1,131,7416,12.0477165,55.7696519,-1.0,4085.0,24
238,1,131,7627,11.9072398,55.7957686,-1.0,17960.0,391
238,1,131,8144,12.0628894,55.6290778,-1.0,2341.0,99
238,1,131,8145,12.0488296,55.6268681,-1.0,14401.0,208
238,1,131,9602,12.0631356,55.6251044,-1.0,500.0,4
238,1,141,13,12.2467616,55.5769391,-1.0,9555.0,740
238,1,141,14,12.1837342,55.4701622,-1.0,8196.0,500
238,1,141,101,12.328606,55.6143369,-1.0,5094.0,445
238,1,141,102,12.3271692,55.6163911,-1.0,2927.0,362
238,1,141,210,12.0337808,55.4636679,-1.0,9282.0,618
238,1,141,254,12.2050908,55.6559308,-1.0,2819.0,81
238,1,141,438,12.2395934,55.5544878,-1.0,19079.0,1180
238,1,141,439,12.267272,55.5813794,-1.0,8671.0,1069
238,1,141,474,12.3828802,55.6194354,-1.0,4964.0,626
238,1,141,475,12.3841534,55.6242197,-1.0,4595.0,556
238,1,141,476,12.389918,55.6290168,-1.0,3659.0,781
238,1,141,602,12.4148414,55.2653034,-1.0,42016.0,371
238,1,141,662,12.2841929,55.6645543,-1.0,1757.0,98
238,1,141,663,12.2841957,55.6521762,-1.0,1789.0,28
238,1,141,717,12.0170974,55.4708332,-1.0,31055.0,891
238,1,141,730,12.3549155,55.6178954,-1.0,6046.0,429
238,1,141,928,12.0838849,55.750893,-1.0,9367.0,35
238,1,141,1023,12.2071589,55.5459204,-1.0,14671.0,623
238,1,141,1025,12.2270012,55.5503423,-1.0,11787.0,859
238,1,141,1199,12.2291341,55.4153642,-1.0,5103.0,883
238,1,141,1211,12.3056371,55.6048087,-1.0,4138.0,300
238,1,141,1580,12.3298177,55.649624,-1.0,3707.0,63
238,1,141,1634,12.211635,55.344165,-1.0,17446.0,1160
238,1,141,1656,12.2756061,55.6660517,-1.0,5717.0,197
238,1,141,1835,12.3658286,55.628699,-1.0,3448.0,274
238,1,141,1836,12.3477083,55.6062696,-1.0,3210.0,318
238,1,141,1865,12.2934417,55.1953696,-1.0,28546.0,479
238,1,141,1932,12.3678633,55.6549548,-1.0,1936.0,297
238,1,141,2182,12.1400495,55.482872,-1.0,49853.0,1104
238,1,141,2183,12.1024938,55.4779976,-1.0,8248.0,411
238,1,141,2184,12.0922883,55.4756029,-1.0,10608.0,874
238,1,141,2214,12.1970425,55.5192385,-1.0,18466.0,567
238,1,141,2215,12.1195624,55.4788219,-1.0,3656.0,116
238,1,141,2540,12.4024356,55.6375853,-1.0,4448.0,551
238,1,141,2624,12.2044525,55.523676,-1.0,17564.0,884
238,1,141,2626,12.1778459,55.5077047,-1.0,11934.0,849
238,1,141,2653,12.2616771,55.5597607,-1.0,14422.0,457
238,1,141,2654,12.2609718,55.5715833,-1.0,7325.0,589
238,1,141,2656,12.2476091,55.5742819,-1.0,2183.0,120
238,1,141,2657,12.2387569,55.5623597,-1.0,4190.0,597
238,1,141,2658,12.2329832,55.594167,-1.0,4064.0,37
238,1,141,2659,12.2928113,55.5968959,-1.0,7022.0,911
238,1,141,2661,12.3254441,55.6106611,-1.0,8931.0,543
238,1,141,2737,12.2827563,55.6647927,-1.0,1288.0,9
238,1,141,3218,12.3125768,55.6622605,-1.0,2381.0,68
238,1,141,3219,12.2967161,55.6636806,-1.0,1708.0,51
238,1,141,3220,12.3094879,55.669556,-1.0,5382.0,169
238,1,141,3494,12.4710121,55.164618,-1.0,75903.0,356
238,1,141,3495,12.192548,55.2268407,-1.0,16787.0,135
238,1,141,3806,12.2853051,55.5965307,-1.0,4886.0,471
238,1,141,3807,12.2514403,55.5953307,-1.0,5032.0,458
238,1,141,3904,12.240712,55.5471849,-1.0,11268.0,639
238,1,141,3905,12.2151765,55.4947564,-1.0,12132.0,748
238,1,141,3906,12.199569,55.5260884,-1.0,5711.0,751
238,1,141,3962,12.1482177,55.4784843,-1.0,3065.0,143
238,1,141,3966,12.2499224,55.5794296,-1.0,4621.0,254
238,1,141,3969,12.1966832,55.5224897,-1.0,4910.0,339
238,1,141,3970,12.1840902,55.5115054,-1.0,3288.0,301
238,1,141,3971,12.1774484,55.4894442,-1.0,3763.0,349
238,1,141,3972,12.1790393,55.500584,-1.0,2929.0,172
238,1,141,3976,12.2147753,55.5390423,-1.0,2969.0,535
238,1,141,3977,12.196348,55.5210671,-1.0,12077.0,788
238,1,141,3978,12.2006929,55.537445,-1.0,10360.0,334
238,1,141,4294,12.1681429,55.4965501,-1.0,21306.0,475
238,1,141,4295,12.1706399,55.492548,-1.0,3062.0,253
238,1,141,4335,12.1062043,55.4817104,-1.0,8464.0,357
238,1,141,4336,12.0587842,55.4337136,-1.0,3999.0,27
238,1,141,4337,12.0272361,55.4639773,-1.0,10197.0,290
238,1,141,4340,12.4345934684211,55.7436362526316,-1.0,6747.52631578947,19
238,1,141,4853,12.1870086,55.4641133,-1.0,6013.0,250
238,1,141,5101,12.2854587,55.6657014,-1.0,6021.0,128
238,1,141,5206,12.3343946,55.5932903,-1.0,4347.0,318
238,1,141,5208,12.2961023,55.5998947,-1.0,1323.0,142
238,1,141,5304,12.376808,55.2998365,-1.0,27748.0,438
238,1,141,5305,12.4223527,55.3097799,-1.0,19194.0,289
238,1,141,5311,12.0777672,55.4125802,-1.0,5519.0,138
238,1,141,5402,12.1426814,55.4805892,-1.0,5032.0,411
238,1,141,5403,12.1330502,55.4881291,-1.0,9977.0,360
238,1,141,5445,12.3079136,55.7347165,-1.0,3073.0,27
238,1,141,5601,12.0497814,55.7726845,-1.0,6132.0,18
238,1,141,5669,12.09764,55.4091833,-1.0,21616.0,160
238,1,141,5737,12.1878265,55.5117495,-1.0,14166.0,304
238,1,141,5738,12.1731381,55.4982265,-1.0,9436.0,448
238,1,141,5739,12.1382089,55.4857598,-1.0,6709.0,361
238,1,141,5767,12.3767617,55.6304108,-1.0,3326.0,482
238,1,141,5768,12.386726,55.614768,-1.0,4343.0,418
238,1,141,5769,12.353389,55.6254709,-1.0,3564.0,293
238,1,141,5856,12.092552,55.3903877,-1.0,6624.0,190
238,1,141,5975,12.2138962,55.4314999,-1.0,11827.0,834
238,1,141,6088,12.3223175,55.6634721,-1.0,2868.0,69
238,1,141,6138,12.2911638,55.5985884,-1.0,5474.0,480
238,1,141,6139,12.2649864,55.5847447,-1.0,2709.0,177
238,1,141,6140,12.2615626,55.5914782,-1.0,6936.0,396
238,1,141,6254,12.3224648,55.7380186,-1.0,3187.0,183
238,1,141,6256,12.2481071,55.7835828,-1.0,6340.0,47
238,1,141,6486,11.9995935,55.4627066,-1.0,32160.0,1263
238,1,141,6487,12.0410671,55.4643419,-1.0,9566.0,569
238,1,141,6488,12.0432408,55.4662275,-1.0,10458.0,712
238,1,141,7072,12.199345,55.5103858,-1.0,8529.0,589
238,1,141,7548,12.3363097,55.6782329,-1.0,3101.0,235
238,1,141,7549,12.33262,55.6766318,-1.0,1899.0,127
238,1,141,7551,12.3307229,55.6765007,-1.0,3471.0,92
238,1,141,7839,12.3754395,55.6298052,-1.0,4425.0,328
238,1,141,14712,12.3653649,55.6519958,-1.0,1552.0,44
238,1,141,14713,12.3448854,55.6473669,-1.0,1724.0,120
238,1,141,14714,12.3528727,55.6608579,-1.0,538.0,26
238,1,141,14805,12.3357673,55.677658,-1.0,1149.0,149
238,1,141,2528698,12.0214247,55.4312289,-1.0,500.0,4
238,1,279,29,10.1891561,56.0743912,-1.0,7767.0,225
238,1,279,56,9.9605412,56.0319999,-1.0,21008.0,2119
238,1,279,243,10.1177927,56.1504571,-1.0,8395.0,46
238,1,279,266,9.9139819,56.0175933,-1.0,15883.0,1428
238,1,279,268,10.0894159,56.0594874,-1.0,8378.0,2707
