mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
610,1,10,49663,-6.7089541,12.5028878,-1.0,22692.0,9
610,1,180,10159,-5.4528099,12.3602016,-1.0,500.0,4
610,1,180,10160,-5.4528196,12.3601099,-1.0,500.0,4
610,1,180,10161,-5.452762,12.3601333,-1.0,500.0,5
610,1,180,10192,-6.7965875,11.4250337,-1.0,710.0,16
610,1,180,10241,-5.452992,12.3605105,-1.0,500.0,3
610,1,180,10242,-5.452969,12.3603143,-1.0,500.0,5
610,1,180,64368,-5.4427257,12.3708907,-1.0,15665.0,13
610,1,180,64371,-5.4525659,12.3601752,-1.0,500.0,3
610,1,230,10019,-8.1934288,11.6406979,-1.0,500.0,24
610,1,230,10295,-6.9360092,12.7489472,-1.0,33572.0,35
610,1,230,63959,-9.5957173,15.2307013,-1.0,1269.0,22
610,1,230,63960,-9.5931796,15.2308037,-1.0,2018.0,97
610,1,230,63961,-9.6020379,15.2309285,-1.0,2936.0,69
610,1,230,63962,-9.5992505,15.2322722,-1.0,996.0,2
610,1,230,63963,-9.5945006,15.230645,-1.0,917.0,23
610,1,230,63965,-9.5894646,15.2308801,-1.0,6856.0,63
610,1,230,63966,-9.5886989,15.2301475,-1.0,5541.0,43
610,1,230,63967,-9.5936505,15.2307634,-1.0,1826.0,102
610,1,230,63968,-9.5894178,15.2306349,-1.0,2345.0,49
610,1,230,63969,-9.5884753,15.2300913,-1.0,5516.0,39
610,1,230,63983,-9.5970604,15.2297475,-1.0,752.0,19
610,1,230,63986,-9.6043944,15.2319937,-1.0,1514.0,19
610,1,230,64036,-9.5910549,15.2306574,-1.0,2096.0,54
610,1,230,64638,-7.5934837,11.6580175,-1.0,4449.0,4
610,1,340,10102,-4.8894854,13.2834723,-1.0,11185.0,14
610,1,340,10103,-4.8714637,13.2678137,-1.0,6208.0,7
610,1,340,10106,-4.8751524,13.2661598,-1.0,6625.0,20
610,1,340,10270,-6.7982543,12.487104,-1.0,5935.0,1042
610,1,340,10271,-6.7993903,12.4850123,-1.0,6193.0,1460
610,1,340,10272,-6.8006242,12.4822157,-1.0,5608.0,1547
610,1,340,10338,-4.8942285,13.2909718,-1.0,2000.0,6
610,1,340,64168,-5.267431,13.0982451,-1.0,500.0,3
610,1,340,64181,-5.2537538,13.1005189,-1.0,1378.0,28
610,1,340,64227,-4.9196766,12.856148,-1.0,500.0,2
610,1,440,12409,-11.3848316,13.0918419,-1.0,500.0,9
610,1,450,20291,-11.4429335,14.4395829,-1.0,1581.0,46
610,1,450,20292,-11.3954086,14.447337,-1.0,4544.0,11
610,1,450,20293,-11.4496428,14.429482,-1.0,500.0,9
610,1,450,20294,-11.4455573,14.4391142,-1.0,1219.0,30
610,1,450,20295,-11.4255457,14.4299675,-1.0,818.0,17
610,1,450,20302,-11.4356192,14.4438652,-1.0,1443.0,41
610,1,450,20303,-11.4356615,14.4467212,-1.0,745.0,115
610,1,450,20312,-11.448805,14.4396303,-1.0,546.0,5
610,1,450,20315,-11.4483424,14.4346084,-1.0,987.0,27
610,1,450,20343,-11.440042,14.4435239,-1.0,2468.0,12
610,1,450,21012,-11.4352214,14.4497382,-1.0,500.0,4
610,1,450,21021,-11.4351633,14.4463016,-1.0,1134.0,167
610,1,450,21022,-11.4385491,14.4433843,-1.0,741.0,218
610,1,450,21023,-11.4390202,14.4432886,-1.0,722.0,199
610,1,450,21031,-11.4329508,14.4387382,-1.0,500.0,21
610,1,450,21032,-11.4365726,14.4394659,-1.0,656.0,29
610,1,450,22252,-11.4360777,14.445314,-1.0,812.0,16
610,1,450,22272,-11.4472345,14.4391211,-1.0,651.0,21
610,1,450,22281,-11.4505085,14.439809,-1.0,500.0,2
610,1,450,22282,-11.4471047,14.4337267,-1.0,804.0,16
610,1,450,22283,-11.4497249,14.4295454,-1.0,500.0,9
610,1,450,25042,-11.4496931,14.429443,-1.0,500.0,9
610,1,450,25093,-11.4336374,14.4477986,-1.0,500.0,2
610,1,450,28061,-11.437949,14.4449149,-1.0,651.0,115
610,1,450,28063,-11.4341909,14.4471683,-1.0,1058.0,67
610,1,450,28072,-11.4346718,14.4456132,-1.0,997.0,33
610,1,450,28073,-11.4351831,14.4471854,-1.0,500.0,79
610,1,450,28091,-11.4312148,14.4476299,-1.0,10053.0,165
610,1,450,28092,-11.4388237,14.4428803,-1.0,575.0,153
610,1,450,28093,-11.4402392,14.4426888,-1.0,548.0,74
610,1,450,28111,-11.4323371,14.4383833,-1.0,1064.0,11
610,1,450,28112,-11.4258492,14.4301969,-1.0,811.0,20
610,1,450,28113,-11.4348494,14.4378643,-1.0,1605.0,26
610,1,450,28123,-11.4352758,14.4481807,-1.0,500.0,4
610,1,450,28131,-11.4368754,14.4459369,-1.0,1407.0,31
610,1,450,28132,-11.4471617,14.4393109,-1.0,500.0,15
610,1,450,28321,-11.4392499,14.4427937,-1.0,1619.0,159
610,1,450,28322,-11.4429706,14.4387374,-1.0,908.0,27
610,1,450,28323,-11.4452815,14.4398708,-1.0,778.0,54
610,1,450,63818,-11.4505717,14.4397785,-1.0,500.0,2
610,1,450,63819,-11.4489178,14.4299827,-1.0,1137.0,11
610,1,450,63820,-11.4495567,14.4292297,-1.0,500.0,6
610,1,450,63827,-11.4370892,14.4469909,-1.0,500.0,11
610,1,450,63828,-11.4396528,14.4429091,-1.0,773.0,135
610,1,450,63829,-11.4409382,14.4426696,-1.0,500.0,4
610,1,450,63840,-11.4352024,14.4499612,-1.0,500.0,2
610,1,450,63843,-11.4437379,14.4425121,-1.0,1249.0,13
610,1,450,63848,-11.4328299,14.439083,-1.0,500.0,12
610,1,450,63849,-11.4354311,14.4388066,-1.0,500.0,22
610,1,450,63850,-11.44122,14.4410675,-1.0,897.0,115
610,1,450,63911,-11.4388504,14.4446451,-1.0,1396.0,75
610,1,450,63912,-11.4470496,14.4390039,-1.0,653.0,24
610,1,450,63918,-11.4350959,14.4467273,-1.0,939.0,7
610,1,450,63919,-11.4341508,14.4474975,-1.0,1069.0,10
610,1,450,63920,-11.4397543,14.4426518,-1.0,962.0,164
610,1,450,63921,-11.4401049,14.4388288,-1.0,837.0,35
610,1,450,63922,-11.4436708,14.439698,-1.0,751.0,46
610,1,450,63942,-11.4478132,14.4393953,-1.0,500.0,5
610,1,450,63945,-11.4300903,14.4581442,-1.0,1283.0,15
610,1,450,63947,-11.4334438,14.4422143,-1.0,1053.0,20
610,1,450,63948,-11.4308505,14.4349546,-1.0,579.0,7
610,1,450,63949,-11.4378897,14.4384805,-1.0,1202.0,31
610,1,450,63950,-11.434845,14.4475364,-1.0,1994.0,75
610,1,450,63951,-11.4373307,14.445273,-1.0,953.0,196
610,1,450,64537,-11.435337,14.4493653,-1.0,500.0,3
610,1,450,64540,-11.4344361,14.4463026,-1.0,500.0,5
610,1,450,64555,-11.3757983,14.4561425,-1.0,5991.0,13
610,1,450,64558,-11.4049202,14.4369012,-1.0,3918.0,5
610,1,450,64568,-11.4338935,14.448728,-1.0,500.0,2
610,1,450,64571,-11.4369213,14.4448613,-1.0,662.0,4
610,1,450,64572,-11.4262996,14.4318151,-1.0,893.0,12
610,1,450,64573,-11.4231745,14.427866,-1.0,500.0,5
610,1,450,64575,-11.428687,14.4338626,-1.0,746.0,6
610,1,450,64577,-11.4361487,14.4399094,-1.0,500.0,4
610,1,450,64578,-11.4238951,14.4290312,-1.0,500.0,7
610,1,450,64579,-11.423585,14.4285396,-1.0,500.0,14
610,1,450,64580,-11.4236957,14.4287277,-1.0,500.0,7
610,1,450,64581,-11.4221316,14.4262685,-1.0,500.0,2
610,1,450,64582,-11.4232137,14.4279468,-1.0,500.0,11
610,1,450,64583,-11.423704,14.4286628,-1.0,500.0,16
610,1,450,64603,-10.0785504,14.6422226,-1.0,5847.0,2
610,1,450,64604,-10.0826945,14.6469493,-1.0,5160.0,3
610,1,450,64626,-10.3055092,14.7109315,-1.0,500.0,20
610,1,450,64627,-10.3040639,14.7112027,-1.0,3979.0,21
610,1,450,64628,-10.3057877,14.7106812,-1.0,5081.0,21
610,1,1020,30414,-3.0034944,16.7791717,-1.0,930.0,13
610,1,1020,32441,-3.739264,16.7356195,-1.0,701.0,2
610,1,1020,35103,-3.6323302,16.7185283,-1.0,500.0,2
610,1,1020,62048,-3.0003864,16.7393814,-1.0,6518.0,195
610,1,1020,62049,-3.0080126,16.7649224,-1.0,4376.0,94
610,1,1040,33020,-7.2971745,15.1539017,-1.0,1652.0,14
610,1,1040,33021,-7.2995676,15.1502832,-1.0,2128.0,16
610,1,1040,33022,-7.3000276,15.1495449,-1.0,2223.0,16
610,1,1060,11902,-6.7975117,12.4822779,-1.0,1278.0,163
610,1,1060,11903,-6.7967248,12.4836862,-1.0,1030.0,45
610,1,1060,31581,2.3747338,15.9327938,-1.0,500.0,40
610,1,1060,31582,2.3744184,15.9322388,-1.0,500.0,60
610,1,1060,31583,2.3744426,15.9322891,-1.0,500.0,60
610,1,1070,663,-5.3507547,12.4667814,-1.0,4540.0,20
610,1,1070,42171,-5.15689401621622,12.5684327864865,-1.0,2050.10810810811,37
610,1,1070,42173,-5.2107173,12.5400994,-1.0,5637.0,3
610,1,1070,49882,-5.0258403,12.6575692,-1.0,500.0,2
610,1,1120,3508,-7.953247,12.6023156,-1.0,851.0,17
