mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
643,1,160,13530,35.3010691,-23.8885182,-1.0,30297.0,13
643,1,200,21323,33.4805657,-19.1161392,-1.0,500.0,2
643,1,200,21331,33.4805647,-19.116138,-1.0,500.0,11
643,1,200,21333,33.4805648,-19.1161382,-1.0,500.0,11
643,1,200,26021,33.4805651,-19.1161387,-1.0,500.0,4
643,1,200,26171,33.4805632,-19.1161362,-1.0,500.0,6
643,1,200,26172,33.4805632,-19.1161362,-1.0,500.0,8
643,1,200,26173,33.4805547,-19.1161262,-1.0,500.0,20
643,1,200,26176,33.4805631,-19.116136,-1.0,500.0,3
643,1,200,26178,33.4805557,-19.1161275,-1.0,500.0,9
643,1,200,26210,33.4805647,-19.1161382,-1.0,500.0,13
643,1,200,26342,33.4805632,-19.1161362,-1.0,500.0,8
643,1,200,26343,33.4805596,-19.1161324,-1.0,500.0,39
643,1,202,21160,33.4805535,-19.1161251,-1.0,500.0,6
643,1,228,4988,33.695922,-25.0710343,-1.0,2321.0,2
643,1,228,4989,33.6888404,-25.0772532,-1.0,2325.0,2
643,1,230,22021,33.4805384,-19.116092,-1.0,500.0,251
643,1,230,22022,33.4805384,-19.116092,-1.0,500.0,259
643,1,230,22023,33.4805384,-19.1160919,-1.0,500.0,276
643,1,230,22026,33.4805384,-19.116092,-1.0,500.0,237
643,1,230,22028,33.4805384,-19.1160921,-1.0,500.0,211
643,1,230,22040,33.4805383,-19.1160914,-1.0,500.0,100
643,1,230,26030,33.4805549,-19.1161267,-1.0,500.0,47
643,1,230,26041,33.4805306,-19.1160418,-1.0,500.0,173
643,1,230,26042,33.4804861,-19.1159882,-1.0,500.0,346
643,1,230,26043,33.4805179,-19.1160086,-1.0,7068.0,432
643,1,230,26046,33.4805,-19.1160016,-1.0,500.0,330
643,1,230,26047,33.4805521,-19.1161057,-1.0,500.0,4
643,1,230,26048,33.4805809,-19.1160237,-1.0,7062.0,408
643,1,230,26101,33.4805547,-19.1160919,-1.0,500.0,25
643,1,230,26121,33.4816586,-19.1159844,-1.0,6949.0,37
643,1,230,26131,33.4811023,-19.1160309,-1.0,7008.0,62
643,1,230,26132,33.4804926,-19.1174599,-1.0,757.0,3
643,1,230,26141,33.4805402,-19.1162888,-1.0,500.0,19
643,1,230,26142,33.4805209,-19.1160846,-1.0,500.0,11
643,1,230,26182,33.4805578,-19.1161298,-1.0,500.0,6
643,1,230,26183,33.4805575,-19.1161295,-1.0,500.0,60
643,1,230,26187,33.4805582,-19.1161303,-1.0,500.0,19
643,1,230,26188,33.4805576,-19.1161295,-1.0,500.0,100
643,1,230,26190,33.4805338,-19.1160833,-1.0,500.0,28
643,1,230,26202,33.4805247,-19.1160574,-1.0,500.0,13
643,1,230,26203,33.4805183,-19.1160297,-1.0,500.0,5
643,1,230,26240,33.4805548,-19.1161215,-1.0,500.0,127
643,1,230,26250,33.4805569,-19.1161288,-1.0,500.0,130
643,1,230,26298,33.4805328,-19.1160503,-1.0,500.0,10
643,1,230,26306,33.4805297,-19.1160769,-1.0,500.0,2
643,1,230,26350,33.480557,-19.1161289,-1.0,500.0,110
643,1,230,26406,33.4805482,-19.1160666,-1.0,500.0,3
643,1,230,26407,33.4810843,-19.1160329,-1.0,500.0,4
643,1,230,26408,33.4805504,-19.1162088,-1.0,500.0,56
643,1,230,27031,33.4804216,-19.1159376,-1.0,500.0,246
643,1,230,27033,33.4803908,-19.1159015,-1.0,500.0,410
643,1,230,27036,33.4804207,-19.1159353,-1.0,500.0,290
643,1,232,22110,33.480534,-19.1160793,-1.0,500.0,64
643,1,238,6138,33.6854842,-25.0833422,-1.0,674.0,2
643,1,252,24121,33.5818906,-16.155769,-1.0,733.0,2
643,1,252,24853,33.5926022,-16.1467973,-1.0,1900.0,2
643,1,270,23028,36.973388,-16.8471571,-1.0,905.0,27
643,1,270,23230,36.8172567,-17.5986097,-1.0,500.0,6
643,1,270,23331,36.9390899,-16.857874,-1.0,500.0,2
643,1,270,23332,36.9384148,-16.8580835,-1.0,500.0,86
643,1,270,23336,36.9725725,-16.8474164,-1.0,814.0,11
643,1,270,23337,36.9622529,-16.8506208,-1.0,2751.0,63
643,1,270,23338,36.9694551,-16.8483784,-1.0,3554.0,30
643,1,270,23441,36.9536622,-16.8493721,-1.0,4224.0,20
643,1,270,23442,36.9380009,-16.8581355,-1.0,500.0,143
643,1,270,23446,36.9381739,-16.8581097,-1.0,500.0,55
643,1,270,23573,36.9383775,-16.8580285,-1.0,500.0,28
643,1,270,23576,36.9382115,-16.8580292,-1.0,500.0,21
643,1,271,23201,36.8836443,-17.877258,-1.0,500.0,13
643,1,271,23202,36.8836443,-17.877258,-1.0,500.0,13
643,1,271,23203,36.8836443,-17.877258,-1.0,500.0,13
643,1,274,23011,36.8836402,-17.8772603,-1.0,500.0,156
643,1,274,23012,36.8836417,-17.877261,-1.0,500.0,105
643,1,274,23013,36.8836411,-17.8772615,-1.0,500.0,360
643,1,274,23016,36.8836377,-17.8772572,-1.0,500.0,17
643,1,274,23018,36.8836411,-17.8772616,-1.0,500.0,277
643,1,274,23031,36.8836614,-17.8772645,-1.0,500.0,146
643,1,274,23033,36.8836411,-17.8772616,-1.0,500.0,48
643,1,274,23036,36.8836411,-17.8772616,-1.0,500.0,13
643,1,274,23041,36.8836493,-17.8772524,-1.0,500.0,8
643,1,274,23042,36.8836545,-17.8772462,-1.0,500.0,91
643,1,274,23048,36.8836471,-17.8772394,-1.0,500.0,2
643,1,274,23183,36.8836411,-17.8772616,-1.0,500.0,31
643,1,274,23188,36.8836411,-17.8772616,-1.0,500.0,7
643,1,274,23241,36.883656,-17.8772449,-1.0,500.0,10
643,1,274,23341,36.8836411,-17.8772616,-1.0,500.0,2054
643,1,274,23342,36.8836411,-17.8772616,-1.0,500.0,81
643,1,274,23343,36.8836411,-17.8772616,-1.0,500.0,1901
643,1,274,23346,36.8836411,-17.8772616,-1.0,500.0,80
643,1,274,23347,36.8836408,-17.8772614,-1.0,500.0,104
643,1,274,23348,36.8836411,-17.8772616,-1.0,500.0,1963
643,1,274,23388,36.8836411,-17.8772616,-1.0,500.0,54
643,1,274,23408,36.8836402,-17.8772605,-1.0,500.0,177
643,1,274,23582,36.8836547,-17.8772459,-1.0,500.0,80
643,1,274,23588,36.8836411,-17.8772616,-1.0,500.0,8
