mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
362,51,123,26369,-63.0409372,18.0263918,-1.0,788.0,91
362,51,123,26371,-63.0414566,18.0251199,-1.0,500.0,58
362,51,123,31489,-63.0780904,18.0294234,-1.0,2748.0,17
362,51,123,34049,-63.0173571,18.0517133,-1.0,500.0,101
362,51,123,34051,-63.0251703,18.0557932,-1.0,594.0,55
362,51,123,39169,-63.031468,18.0510643,-1.0,500.0,13
362,51,123,41729,-63.0670493,18.0311982,-1.0,908.0,32
362,51,123,41730,-63.063041,18.0206792,-1.0,2319.0,18
362,51,123,41731,-63.0739267,18.0260904,-1.0,566.0,32
362,51,123,62209,-63.0449411,18.0276495,-1.0,1662.0,35
362,51,123,62210,-63.0570713,18.0233308,-1.0,690.0,15
362,51,123,62211,-63.0550728,18.0287944,-1.0,621.0,113
362,51,123,69890,-63.0251548,18.0368648,-1.0,501.0,199
362,51,123,512769,-63.0331012,18.050308,-1.0,1510.0,89
362,51,123,563970,-63.0347466,18.0449467,-1.0,500.0,31
362,51,123,768769,-63.0801554,18.0312907,-1.0,803.0,28
362,51,123,768770,-63.0825218,18.0298294,-1.0,608.0,35
362,51,123,768771,-63.0854148,18.0425454,-1.0,1040.0,6
362,51,123,794369,-63.0806181,18.0421043,-1.0,500.0,19
362,51,123,794370,-63.082996,18.0414458,-1.0,500.0,16
362,51,123,794371,-63.0923221,18.0374229,-1.0,1327.0,17
362,51,123,819969,-63.0865247,18.0369721,-1.0,1045.0,2
362,51,123,1050370,-63.0592718,18.0335814,-1.0,2977.0,171
362,51,123,1050371,-63.064744,18.0347771,-1.0,1187.0,126
362,51,123,1075970,-63.0670142,18.0497875,-1.0,1456.0,10
362,51,123,1306371,-63.0621155,18.0199132,-1.0,500.0,4
362,51,123,1331969,-63.0381887,18.0280986,-1.0,500.0,2
362,51,123,1331971,-63.0600813,18.0217838,-1.0,1317.0,5
362,51,123,1357569,-63.0264441,18.0353417,-1.0,728.0,195
362,51,123,1357570,-63.0254723,18.0368335,-1.0,500.0,272
362,51,123,1408770,-63.096275,18.0364092,-1.0,500.0,28
362,51,123,1434369,-63.3125877,18.1186405,-1.0,26193.0,4
362,51,123,1485571,-63.0457547,18.0259908,-1.0,500.0,58
