mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
290,1,200,957707,-46.0420181,60.7182964,-1.0,1339.0,17
290,1,200,957708,-46.0353116,60.7197073,-1.0,990.0,5
290,1,200,957717,-46.0411178,60.7187828,-1.0,500.0,5
290,1,200,957718,-46.0319058,60.7190362,-1.0,500.0,4
290,1,200,960267,-46.0269166,60.7248624,-1.0,500.0,67
290,1,200,960268,-46.0304721,60.7197546,-1.0,500.0,2
290,1,200,960269,-46.0389955,60.7221704,-1.0,1507.0,77
290,1,200,960279,-46.0347442,60.7212104,-1.0,1668.0,19
290,1,200,960287,-46.0294815,60.7238077,-1.0,964.0,5
290,1,200,65639067,-46.0269423,60.7247641,-1.0,500.0,5
290,1,200,65639069,-46.0382506,60.7214629,-1.0,834.0,15
290,1,300,944907,-46.0468369,60.913775,-1.0,500.0,32
290,1,500,932107,-49.6564605,61.9919915,-1.0,500.0,2
290,1,650,41411,-51.6736181,64.1980239,-1.0,1406.0,5
290,1,650,1024267,-51.7379783,64.1777269,-1.0,500.0,2
290,1,650,1024277,-51.738006,64.1778582,-1.0,500.0,2
290,1,650,1024317,-51.7396042,64.178211,-1.0,500.0,2
290,1,650,1024329,-51.7380339,64.1777446,-1.0,500.0,3
290,1,650,1026827,-51.6984492,64.1885079,-1.0,622.0,23
290,1,650,1026887,-51.6966345,64.1899352,-1.0,610.0,23
290,1,650,1029387,-51.6770746,64.1965478,-1.0,1041.0,36
290,1,650,1029437,-51.6864168,64.1937112,-1.0,911.0,21
290,1,650,1029447,-51.6858326,64.1951941,-1.0,2303.0,7
290,1,650,1029448,-51.7063404,64.1936248,-1.0,500.0,2
290,1,650,1031998,-51.6729771,64.190753,-1.0,1095.0,5
290,1,650,1034508,-51.723348,64.160029,-1.0,508.0,4
290,1,650,1034557,-51.7312067,64.1702814,-1.0,500.0,25
290,1,650,1034559,-51.7342763,64.1700484,-1.0,647.0,24
290,1,650,1034567,-51.7317062,64.1683604,-1.0,1243.0,42
290,1,650,1034569,-51.7352165,64.1698249,-1.0,621.0,22
290,1,650,1037067,-51.637416,64.2047189,-1.0,6793.0,12
290,1,650,1039627,-51.6991241,64.1670105,-1.0,1667.0,12
290,1,650,1039628,-51.709741,64.1636936,-1.0,1040.0,3
290,1,650,1039629,-51.723264,64.1801262,-1.0,500.0,53
290,1,650,1039639,-51.724858,64.1770995,-1.0,502.0,5
290,1,650,1039677,-51.6882363,64.181005,-1.0,1495.0,13
290,1,650,1039678,-51.7244752,64.1707942,-1.0,1324.0,7
290,1,650,1039679,-51.723276,64.1794144,-1.0,540.0,136
290,1,650,1039687,-51.6857693,64.1782119,-1.0,1649.0,94
290,1,650,1039688,-51.7142596,64.1615118,-1.0,1087.0,10
290,1,650,1039689,-51.7232517,64.1798213,-1.0,500.0,77
290,1,650,1042187,-51.7064294,64.1871321,-1.0,1417.0,41
290,1,650,1042188,-51.7148577,64.1781754,-1.0,1883.0,33
290,1,650,1042189,-51.7186236,64.1875104,-1.0,827.0,128
290,1,650,1042198,-51.7268574,64.1747413,-1.0,970.0,6
290,1,650,1042199,-51.722008,64.184166,-1.0,500.0,10
290,1,650,1042238,-51.7178191,64.1737541,-1.0,1069.0,6
290,1,650,1042239,-51.7168826,64.1868714,-1.0,718.0,126
290,1,650,1042247,-51.7055337,64.1868026,-1.0,991.0,43
290,1,650,1042249,-51.7195902,64.1866361,-1.0,759.0,208
290,1,650,1044747,-51.6665731,64.1755855,-1.0,500.0,19
290,1,650,1044748,-51.6695287,64.174653,-1.0,500.0,36
290,1,650,1044797,-51.6666204,64.1732891,-1.0,500.0,26
290,1,650,1044798,-51.6675765,64.1743563,-1.0,500.0,14
290,1,650,1044807,-51.6668235,64.1752563,-1.0,500.0,26
290,1,650,1044808,-51.6693029,64.1745531,-1.0,500.0,49
290,1,650,1047357,-51.6681879,64.1677739,-1.0,500.0,12
290,1,650,1049867,-51.746338,64.1798443,-1.0,500.0,2
290,1,650,1049918,-51.7411562,64.1774939,-1.0,500.0,2
290,1,650,1049928,-51.7456188,64.1737592,-1.0,500.0,6
290,1,650,1049929,-51.7491615,64.1729685,-1.0,841.0,4
290,1,650,1052427,-51.7189823,64.1806167,-1.0,2937.0,34
290,1,650,1052428,-51.7360893,64.1724377,-1.0,605.0,14
290,1,650,1052429,-51.7422336,64.1740054,-1.0,500.0,9
290,1,650,1052477,-51.7321215,64.1772023,-1.0,717.0,118
290,1,650,1052478,-51.7359338,64.1721075,-1.0,500.0,57
290,1,650,1052479,-51.7433222,64.1751369,-1.0,500.0,21
290,1,650,1052487,-51.7336222,64.1772578,-1.0,771.0,266
290,1,650,1052488,-51.7344826,64.1709506,-1.0,500.0,37
290,1,650,1052489,-51.7421688,64.1743763,-1.0,500.0,20
290,1,650,1054987,-51.7246249,64.1892092,-1.0,828.0,70
290,1,650,1054988,-51.7378041,64.178456,-1.0,552.0,49
290,1,650,1054989,-51.7405936,64.1806042,-1.0,500.0,16
290,1,650,1054998,-51.7395188,64.177551,-1.0,500.0,3
290,1,650,1055037,-51.7223341,64.1879045,-1.0,915.0,112
290,1,650,1055038,-51.7375039,64.1780734,-1.0,557.0,71
290,1,650,1055039,-51.7345894,64.1834279,-1.0,500.0,5
290,1,650,1055047,-51.7214983,64.1882675,-1.0,944.0,262
290,1,650,1055048,-51.7370551,64.1784033,-1.0,515.0,75
290,1,650,1055049,-51.7469139,64.1810304,-1.0,500.0,3
290,1,650,1057547,-51.6957497,64.1850194,-1.0,867.0,16
