mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
548,1,20,87549,-159.7347082,-21.2596847,-1.0,1088.0,93
548,1,20,87568,-159.7995044,-21.2001581,-1.0,500.0,24
