mcc,country,cells,longitude,latitude,urls
208,France,789655,2.44119514133092,46.7450538044378,lacells-mcc_208.csv
340,"French Guiana / Guadeloupe / Martinique",7514,-60.5761523575653,14.6249552228489,lacells-mcc_340.csv
547,"French Polynesia",1231,-149.362108939717,-17.3446627875375,lacells-mcc_547.csv
628,Gabon,948,9.53834558508229,0.409983918451166,lacells-mcc_628.csv
607,Gambia,767,-16.6829317158589,13.4304514024908,lacells-mcc_607.csv
282,"Georgia (country)",2746,44.6182484911887,41.7860239533249,lacells-mcc_282.csv
262,Germany,778387,9.95174417252268,50.907027875081,lacells-mcc_262_a.csv
620,Ghana,12645,-0.462300012886227,6.29434360362753,lacells-mcc_620.csv
266,Gibraltar,125,-5.35451920601542,36.1437620154538,lacells-mcc_266.csv
202,Greece,63568,23.4450021302275,38.301047727556,lacells-mcc_202.csv
290,Greenland,165,-51.4043417570577,64.566921945066,lacells-mcc_290.csv
352,Grenada,43,-61.7515545415649,12.0487057631408,lacells-mcc_352.csv
704,Guatemala,8353,-90.5752796295343,14.5991297547878,lacells-mcc_704.csv
611,Guinea,1819,-13.4859162838687,9.62667294980833,lacells-mcc_611.csv
632,Guinea-Bissau,26,-15.7192522764641,12.1046991637569,lacells-mcc_632.csv
738,Guyana,1108,-58.1758409805385,6.70426570578062,lacells-mcc_738.csv
372,Haiti,1002,-72.5246006242469,18.6334268610642,lacells-mcc_372.csv
708,Honduras,1841,-87.5955629993324,14.9524517597538,lacells-mcc_708.csv
454,"Hong Kong",23161,114.14411268386,22.3381910857262,lacells-mcc_454.csv
216,Hungary,59517,18.9974974464326,47.3502746815598,lacells-mcc_216.csv
274,Iceland,4102,-20.640523970365,64.3020375536926,lacells-mcc_274.csv
404,India,270715,77.1271350726914,19.5742418790687,lacells-mcc_404.csv
405,India,141526,79.1977792547564,20.7817262334464,lacells-mcc_405.csv
510,Indonesia,295484,108.377890648588,-6.29386958910978,lacells-mcc_510.csv
432,Iran,244586,51.6786082747775,35.0362253282393,lacells-mcc_432.csv
418,Iraq,5274,44.9311418138277,33.8275473377716,lacells-mcc_418.csv
272,Ireland,48840,-7.96321698378335,53.0256436769463,lacells-mcc_272.csv
425,"Israel / Palestine",45619,34.9148872178294,32.0932399171668,lacells-mcc_425.csv
222,Italy,442952,11.082997266632,44.0980075722047,lacells-mcc_222.csv
612,"Ivory Coast",44728,-4.82023662227408,6.16353186216763,lacells-mcc_612.csv
338,Jamaica,7887,-71.1173950640793,18.4126636799337,lacells-mcc_338.csv
440,Japan,516457,137.760773015315,35.6854705753982,lacells-mcc_440.csv
416,Jordan,9209,35.8017025725898,31.7004034498767,lacells-mcc_416.csv
401,Kazakhstan,15846,71.0609382506456,46.8272215429958,lacells-mcc_401.csv
639,Kenya,21468,36.8885289661698,-1.52221322851737,lacells-mcc_639.csv
212,Kosovo,602,13.1733146487239,43.1824208197676,lacells-mcc_212.csv
419,Kuwait,7008,47.9428948612337,29.254944314827,lacells-mcc_419.csv
437,Kyrgyzstan,4256,74.6221927350207,42.8697069114121,lacells-mcc_437.csv
457,Laos,3282,102.951292289533,18.3217854196605,lacells-mcc_457.csv
247,Latvia,13868,24.1176041949311,56.9516803710065,lacells-mcc_247.csv
415,Lebanon,5023,35.5757183082061,33.9180712262103,lacells-mcc_415.csv
651,Lesotho,323,27.2901670530495,-29.6425894165154,lacells-mcc_651.csv
618,Liberia,332,-10.6997751786964,6.29802858122148,lacells-mcc_618.csv
606,Libya,3264,14.5718191723395,32.4596155976092,lacells-mcc_606.csv
295,Liechtenstein,441,9.51401608386549,47.1461425795414,lacells-mcc_295.csv
246,Lithuania,16269,24.2868447344456,55.0106536646255,lacells-mcc_246.csv
270,Luxembourg,8569,6.11089647944844,49.63741746636,lacells-mcc_270.csv
455,Macau,432,113.558518331038,22.1860310503759,lacells-mcc_455.csv
294,Macedonia,1079,21.3175977723393,41.8292773910253,lacells-mcc_294.csv
646,Madagascar,2127,46.8928363759456,-21.3143577206789,lacells-mcc_646.csv
650,Malawi,817,34.705387720382,-13.9962609311839,lacells-mcc_650.csv
502,Malaysia,76380,101.895702678527,3.28576178107005,lacells-mcc_502.csv
472,Maldives,93,73.4876629833887,4.15261435166113,lacells-mcc_472.csv
610,Mali,4477,-7.79737638964521,12.8776996110659,lacells-mcc_610.csv
278,Malta,3776,14.4563534698556,35.9096871457275,lacells-mcc_278.csv
609,Mauritania,2034,-15.592007246037,17.7871664670578,lacells-mcc_609.csv
617,Mauritius,3008,57.5476301010499,-20.191465877983,lacells-mcc_617.csv
334,Mexico,180125,-100.363186765218,20.9424493381957,lacells-mcc_334.csv
259,Moldova,2702,28.9759899881374,47.0026124672672,lacells-mcc_259.csv
428,Mongolia,265,106.798428566488,47.7650952086434,lacells-mcc_428.csv
297,Montenegro,542,18.9353753458224,42.5287064119232,lacells-mcc_297.csv
354,Montserrat,3,-62.0624922447244,17.1331248277165,lacells-mcc_354.csv
604,Morocco,23934,-6.58733229380284,33.3624861733316,lacells-mcc_604.csv
643,Mozambique,13953,35.6227422038858,-20.0390487473572,lacells-mcc_643.csv
414,Myanmar,11667,95.3754154979443,18.4940797984809,lacells-mcc_414.csv
649,Namibia,2533,16.6597472159084,-21.5920019014178,lacells-mcc_649.csv
429,Nepal,6813,84.5373000064672,27.9229415724963,lacells-mcc_429.csv
204,Netherlands,159284,5.28024784590239,52.0840380852236,lacells-mcc_204.csv
362,"Netherlands Antilles",1315,-68.5188625456352,12.5224978377501,lacells-mcc_362.csv
546,"New Caledonia",994,166.434607455344,-22.2097223402954,lacells-mcc_546.csv
530,"New Zealand",35930,174.166035280612,-39.5923378260624,lacells-mcc_530.csv
710,Nicaragua,2284,-86.2311350692934,12.2695502958175,lacells-mcc_710.csv
614,Niger,1516,4.34842897702407,13.5981910867173,lacells-mcc_614.csv
621,Nigeria,47984,5.21314249579083,7.93305332124939,lacells-mcc_621.csv
555,Niue,17,-164.967284773803,-17.0703515099343,lacells-mcc_555.csv
467,"North Korea",3,3.3027092,36.71938455,lacells-mcc_467.csv
242,Norway,42664,10.0337996005154,60.9006949638515,lacells-mcc_242.csv
422,Oman,5875,57.7822119099243,23.0389703524113,lacells-mcc_422.csv
410,Pakistan,25761,70.9803973511167,29.9971620857258,lacells-mcc_410.csv
552,Palau,8,134.49346038,7.38420590333333,lacells-mcc_552.csv
714,Panama,7153,-79.7273203967241,8.91952135288365,lacells-mcc_714.csv
