mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
618,1,4,2491,-8.5387381,7.5750168,-1.0,1413.0,5
618,1,4,2492,-8.5372587,7.5727089,-1.0,1534.0,48
618,1,4,2493,-8.5536555,7.5561822,-1.0,3780.0,38
618,1,6,1066498,-10.7465344,6.2739422,-1.0,500.0,4
618,1,4012,267806,-10.7465344,6.2739422,-1.0,500.0,6
618,1,4021,260412,-10.7146767,6.2674957,-1.0,7277.0,4
618,1,10011,6876165,-8.1526943,7.2623817,-1.0,500.0,23
618,1,10012,115671,-10.7283233,6.2687327,-1.0,1609.0,186
618,1,10012,115781,-10.6927944,6.2832707,-1.0,1505.0,70
618,1,10012,115807,-10.707392,6.2638485,-1.0,7108.0,443
618,1,10012,115812,-10.7162237,6.2649979,-1.0,3065.0,253
618,1,10012,116080,-10.7252851,6.2682913,-1.0,500.0,5
618,1,10012,116081,-10.7230917,6.2673167,-1.0,500.0,8
618,1,30003,5183,-10.7466569,6.273844,-1.0,1988.0,303
618,1,30003,5723,-10.7471864,6.2740333,-1.0,2765.0,192
618,1,30003,9282,-10.7374753,6.2769444,-1.0,3035.0,7
618,1,30003,9392,-10.7526592,6.27592,-1.0,4141.0,578
618,1,31012,115539,-10.7684452,6.2861522,-1.0,539.0,32
618,1,31012,115579,-10.7780911,6.291342,-1.0,500.0,10
618,1,31012,115818,-10.7655447,6.2989429,-1.0,500.0,2
618,1,31012,115851,-10.8074121,6.3181723,-1.0,500.0,2
618,1,31012,116022,-10.7891814,6.2945825,-1.0,500.0,13
618,1,31012,116037,-10.7734534,6.2897736,-1.0,500.0,11
618,1,31012,116940,-10.8034937,6.3151311,-1.0,500.0,3
618,1,31012,116941,-10.8065434,6.317048,-1.0,500.0,2
618,1,31012,117027,-10.7808222,6.2924497,-1.0,500.0,7
618,1,40001,2792,-10.6787557,6.2772498,-1.0,1910.0,3
618,1,40001,5071,-10.6763818,6.2987067,-1.0,1379.0,2
618,1,40001,5072,-10.6771051,6.2918832,-1.0,1429.0,4
618,1,40001,5073,-10.6995225,6.2850383,-1.0,2630.0,125
618,1,40001,5302,-10.6949863,6.2795782,-1.0,1229.0,109
618,1,40001,5391,-10.667028,6.3192784,-1.0,1698.0,8
618,1,40001,5392,-10.6660891,6.3227,-1.0,1955.0,7
618,1,40001,5393,-10.6734137,6.3061521,-1.0,500.0,3
618,1,40001,5422,-10.6960284,6.2860222,-1.0,1656.0,29
618,1,40001,5522,-10.6951266,6.2718153,-1.0,1971.0,98
618,1,40001,5523,-10.6999139,6.2734831,-1.0,2622.0,239
618,1,40001,5531,-10.7158002,6.2966389,-1.0,810.0,2
618,1,40001,5532,-10.7075416,6.2803259,-1.0,1612.0,77
618,1,40001,5533,-10.7130295,6.2831572,-1.0,1774.0,21
618,1,40001,5561,-10.7021128,6.2727659,-1.0,2449.0,245
618,1,40001,5562,-10.7086849,6.2575213,-1.0,2667.0,83
618,1,40001,5563,-10.7144196,6.2668944,-1.0,2678.0,537
618,1,40001,5691,-10.6883006,6.2979164,-1.0,500.0,8
618,1,40001,5692,-10.6990801,6.2832882,-1.0,2015.0,159
618,1,40001,5696,-10.7141466,6.296251,-1.0,9194.0,6
618,1,40001,5731,-10.6934989,6.2728894,-1.0,1258.0,24
618,1,40001,5732,-10.6245121,6.2333449,-1.0,8078.0,11
618,1,40001,5781,-10.6974745,6.2719787,-1.0,7279.0,70
618,1,40001,5783,-10.7103076,6.2634216,-1.0,5280.0,250
618,1,40001,5831,-10.6883075,6.2981084,-1.0,500.0,8
618,1,40001,5832,-10.6874824,6.2964595,-1.0,2034.0,13
618,1,40001,6783,-10.7046585,6.2532199,-1.0,1377.0,31
618,1,40001,7011,-10.6883422,6.298172,-1.0,500.0,7
618,1,40001,7012,-10.6866984,6.2945598,-1.0,1910.0,5
618,1,40001,9201,-10.6896455,6.2933426,-1.0,739.0,2
618,1,40001,9202,-10.6925985,6.2841299,-1.0,1163.0,6
618,1,40001,9253,-10.6973655,6.2897574,-1.0,2121.0,6
618,1,40001,9373,-10.7397379,6.2715043,-1.0,2463.0,304
618,1,40001,9411,-10.696618,6.2742172,-1.0,2237.0,116
618,1,40001,9412,-10.6982205,6.2651739,-1.0,992.0,35
618,1,40001,9413,-10.7062094,6.2647961,-1.0,1701.0,201
618,1,40001,9531,-10.6672239,6.3109199,-1.0,3731.0,10
618,1,40001,9533,-10.6713101,6.2977985,-1.0,1374.0,4
618,1,40001,9603,-10.6650526,6.3251453,-1.0,2343.0,14
618,1,40001,9755,-10.7154683,6.2837893,-1.0,2216.0,6
618,1,40002,9443,-10.6848872,6.2391036,-1.0,3209.0,95
618,7,2,1030401,-10.7157556,6.3064241,-1.0,500.0,7
618,7,2,1063936,-10.7735596,6.3403963,-1.0,500.0,3
618,7,3,1127426,-10.380744,6.2512105,-1.0,1021.0,26
618,7,3,1132290,-10.5468091,6.2107277,-1.0,2044.0,7
618,7,5,10012,-10.7789592,6.3774389,-1.0,2274.0,9
618,7,5,10015,-10.7902203,6.344349,-1.0,5583.0,4
618,7,5,11542,-10.7802993,6.3635939,-1.0,8493.0,54
618,7,5,12551,-11.122397,6.8242791,-1.0,500.0,17
618,7,5,12553,-11.122397,6.8242791,-1.0,500.0,3
618,7,5,12554,-11.122397,6.8242791,-1.0,500.0,17
618,7,5,12555,-11.122397,6.8242791,-1.0,500.0,4
618,7,5,14055,-10.8123956,6.3870603,-1.0,7427.0,3
618,7,5,15262,-11.1329085,6.8227658,-1.0,500.0,3
618,7,5,15271,-11.1350193,6.8224341,-1.0,500.0,2
618,7,5,15272,-11.1350193,6.8224341,-1.0,500.0,4
618,7,5,15273,-11.1350193,6.8224341,-1.0,500.0,2
618,7,6,1026048,-10.7972824,6.3067835,-1.0,500.0,17
618,7,6,1026560,-10.777233,6.2914717,-1.0,500.0,6
618,7,6,1100800,-10.7845507,6.2934972,-1.0,500.0,5
618,7,6,1100802,-10.785817,6.2925816,-1.0,500.0,19
618,7,6,1132544,-10.7972818,6.3065253,-1.0,500.0,450
618,7,6,1169410,-10.7972394,6.3065918,-1.0,500.0,11
618,7,7,1027329,-10.7087281,6.2606479,-1.0,500.0,7
618,7,7,1027330,-10.7139882,6.2649908,-1.0,701.0,197
618,7,7,1029377,-10.641432,6.2292832,-1.0,500.0,2
618,7,7,1067521,-10.6380531,6.2281846,-1.0,500.0,2
618,7,7,1123841,-10.6409802,6.2291176,-1.0,500.0,15
618,7,7,1134593,-10.7128867,6.270543,-1.0,1107.0,38
618,7,13,10131,-10.7076266,6.2643715,-1.0,1580.0,161
618,7,13,10132,-10.7108026,6.2630279,-1.0,2482.0,120
618,7,13,10134,-10.7076995,6.2644462,-1.0,1105.0,108
618,7,13,10135,-10.7086562,6.2622036,-1.0,2444.0,145
618,7,13,10142,-10.6791248,6.2900668,-1.0,667.0,5
618,7,13,10143,-10.6814688,6.296355,-1.0,500.0,4
618,7,13,10202,-10.6930064,6.2858882,-1.0,1910.0,59
618,7,13,10203,-10.6930591,6.2851948,-1.0,3554.0,43
618,7,13,10206,-10.688316,6.2837706,-1.0,500.0,5
618,7,13,10211,-10.6742662,6.2361804,-1.0,2271.0,33
618,7,13,10212,-10.6766988,6.2345139,-1.0,2648.0,5
618,7,13,10214,-10.671356,6.2347611,-1.0,2558.0,48
618,7,13,10272,-10.6764699,6.2648469,-1.0,1254.0,55
618,7,13,10273,-10.6859921,6.2759751,-1.0,987.0,17
618,7,13,10274,-10.666622,6.2508399,-1.0,1860.0,3
618,7,13,10831,-10.6928479,6.2860647,-1.0,735.0,46
618,7,13,10832,-10.7049312,6.2663214,-1.0,2076.0,13
618,7,13,10833,-10.693646,6.2861795,-1.0,1425.0,21
618,7,13,10835,-10.6970069,6.2748546,-1.0,1828.0,15
618,7,13,10836,-10.6947293,6.2843117,-1.0,1067.0,11
618,7,13,10851,-10.6933396,6.2411691,-1.0,1687.0,131
618,7,13,10852,-10.6909747,6.2403284,-1.0,1077.0,81
618,7,13,10853,-10.6994402,6.2439468,-1.0,910.0,76
618,7,13,10854,-10.6952414,6.242938,-1.0,2777.0,133
618,7,13,10855,-10.6904814,6.2402994,-1.0,1549.0,160
